,subject,word,wav,duration
0,67fcdb05,two,../data/two/67fcdb05_nohash_1.wav,1.0
1,71904de3,two,../data/two/71904de3_nohash_0.wav,1.0
2,9a7c1f83,two,../data/two/9a7c1f83_nohash_2.wav,1.0
3,ef2a3cfb,two,../data/two/ef2a3cfb_nohash_0.wav,1.0
4,d9462202,two,../data/two/d9462202_nohash_0.wav,1.0
5,35d1b6ee,two,../data/two/35d1b6ee_nohash_0.wav,1.0
6,8b775397,two,../data/two/8b775397_nohash_2.wav,1.0
7,b1df80c0,two,../data/two/b1df80c0_nohash_0.wav,1.0
8,5fadb538,two,../data/two/5fadb538_nohash_0.wav,1.0
9,d33df435,two,../data/two/d33df435_nohash_2.wav,1.0
10,f5733968,two,../data/two/f5733968_nohash_1.wav,1.0
11,08ab8082,two,../data/two/08ab8082_nohash_0.wav,1.0
12,ccfd721c,two,../data/two/ccfd721c_nohash_0.wav,1.0
13,f875f965,two,../data/two/f875f965_nohash_0.wav,1.0
14,62641b88,two,../data/two/62641b88_nohash_0.wav,1.0
15,c0c0d87d,two,../data/two/c0c0d87d_nohash_2.wav,1.0
16,b49caed3,two,../data/two/b49caed3_nohash_2.wav,1.0
17,e0315cf6,two,../data/two/e0315cf6_nohash_4.wav,1.0
18,02746d24,two,../data/two/02746d24_nohash_0.wav,1.0
19,591d32f3,two,../data/two/591d32f3_nohash_0.wav,1.0
20,98447c43,two,../data/two/98447c43_nohash_0.wav,1.0
21,2f813234,two,../data/two/2f813234_nohash_1.wav,1.0
22,380abbad,two,../data/two/380abbad_nohash_1.wav,1.0
23,439c84f4,two,../data/two/439c84f4_nohash_4.wav,1.0
24,8b775397,two,../data/two/8b775397_nohash_1.wav,1.0
25,b1426003,two,../data/two/b1426003_nohash_0.wav,1.0
26,10627519,two,../data/two/10627519_nohash_0.wav,0.853375
27,da7689f1,two,../data/two/da7689f1_nohash_0.wav,0.7430625
28,44c201dd,two,../data/two/44c201dd_nohash_0.wav,1.0
29,32a19ecf,two,../data/two/32a19ecf_nohash_0.wav,1.0
30,3bc21161,two,../data/two/3bc21161_nohash_2.wav,1.0
31,ece1a95a,two,../data/two/ece1a95a_nohash_0.wav,1.0
32,39c13eed,two,../data/two/39c13eed_nohash_1.wav,1.0
33,3d53244b,two,../data/two/3d53244b_nohash_1.wav,1.0
34,3b853f44,two,../data/two/3b853f44_nohash_0.wav,0.981375
35,86648261,two,../data/two/86648261_nohash_0.wav,1.0
36,7ca023e2,two,../data/two/7ca023e2_nohash_1.wav,1.0
37,264f471d,two,../data/two/264f471d_nohash_2.wav,1.0
38,a0f93943,two,../data/two/a0f93943_nohash_0.wav,1.0
39,9735764a,two,../data/two/9735764a_nohash_0.wav,1.0
40,8c3c4715,two,../data/two/8c3c4715_nohash_0.wav,1.0
41,cb2929ce,two,../data/two/cb2929ce_nohash_2.wav,1.0
42,173ae793,two,../data/two/173ae793_nohash_0.wav,1.0
43,d2f4f431,two,../data/two/d2f4f431_nohash_0.wav,1.0
44,f292725f,two,../data/two/f292725f_nohash_0.wav,1.0
45,079d1020,two,../data/two/079d1020_nohash_2.wav,1.0
46,2f813234,two,../data/two/2f813234_nohash_0.wav,1.0
47,a8cb6dda,two,../data/two/a8cb6dda_nohash_0.wav,0.8106875
48,39a12648,two,../data/two/39a12648_nohash_3.wav,1.0
49,b5552931,two,../data/two/b5552931_nohash_2.wav,1.0
50,d84829e0,two,../data/two/d84829e0_nohash_0.wav,1.0
51,fbdc07bb,two,../data/two/fbdc07bb_nohash_0.wav,1.0
52,a4c938ce,two,../data/two/a4c938ce_nohash_0.wav,1.0
53,937b433e,two,../data/two/937b433e_nohash_0.wav,1.0
54,57b68383,two,../data/two/57b68383_nohash_0.wav,1.0
55,1626bc5a,two,../data/two/1626bc5a_nohash_0.wav,1.0
56,8012c69d,two,../data/two/8012c69d_nohash_2.wav,1.0
57,b737ee80,two,../data/two/b737ee80_nohash_1.wav,0.896
58,035de8fe,two,../data/two/035de8fe_nohash_1.wav,1.0
59,89d6d11e,two,../data/two/89d6d11e_nohash_0.wav,1.0
60,9ff2d2f4,two,../data/two/9ff2d2f4_nohash_3.wav,1.0
61,6e8b9b7b,two,../data/two/6e8b9b7b_nohash_1.wav,1.0
62,c9b653a0,two,../data/two/c9b653a0_nohash_0.wav,1.0
63,bab36420,two,../data/two/bab36420_nohash_1.wav,1.0
64,9efe5140,two,../data/two/9efe5140_nohash_0.wav,1.0
65,11a022ba,two,../data/two/11a022ba_nohash_0.wav,1.0
66,c79159aa,two,../data/two/c79159aa_nohash_0.wav,1.0
67,d90b4138,two,../data/two/d90b4138_nohash_4.wav,1.0
68,c6a23ff5,two,../data/two/c6a23ff5_nohash_1.wav,1.0
69,3903b558,two,../data/two/3903b558_nohash_0.wav,1.0
70,25c14394,two,../data/two/25c14394_nohash_0.wav,0.9386875
71,c0e8f5a1,two,../data/two/c0e8f5a1_nohash_1.wav,1.0
72,625fd898,two,../data/two/625fd898_nohash_0.wav,0.882375
73,afd53389,two,../data/two/afd53389_nohash_0.wav,1.0
74,a331d9cb,two,../data/two/a331d9cb_nohash_0.wav,1.0
75,b4aa9fef,two,../data/two/b4aa9fef_nohash_4.wav,1.0
76,ad63d93c,two,../data/two/ad63d93c_nohash_4.wav,1.0
77,cc6ee39b,two,../data/two/cc6ee39b_nohash_2.wav,1.0
78,dcc012ec,two,../data/two/dcc012ec_nohash_2.wav,1.0
79,7117fb6d,two,../data/two/7117fb6d_nohash_0.wav,1.0
80,cae62f38,two,../data/two/cae62f38_nohash_1.wav,1.0
81,686d030b,two,../data/two/686d030b_nohash_3.wav,1.0
82,c1e0e8e3,two,../data/two/c1e0e8e3_nohash_1.wav,1.0
83,e0344f60,two,../data/two/e0344f60_nohash_0.wav,1.0
84,bbd0bbd0,two,../data/two/bbd0bbd0_nohash_0.wav,1.0
85,97addd88,two,../data/two/97addd88_nohash_1.wav,1.0
86,c205e625,two,../data/two/c205e625_nohash_0.wav,1.0
87,274c008f,two,../data/two/274c008f_nohash_2.wav,1.0
88,25132942,two,../data/two/25132942_nohash_3.wav,1.0
89,28e47b1a,two,../data/two/28e47b1a_nohash_3.wav,1.0
90,f5733968,two,../data/two/f5733968_nohash_3.wav,1.0
91,8ed25ef8,two,../data/two/8ed25ef8_nohash_0.wav,1.0
92,bab36420,two,../data/two/bab36420_nohash_0.wav,1.0
93,3bc21161,two,../data/two/3bc21161_nohash_1.wav,1.0
94,c948d727,two,../data/two/c948d727_nohash_2.wav,1.0
95,3fb8c268,two,../data/two/3fb8c268_nohash_0.wav,1.0
96,857366dd,two,../data/two/857366dd_nohash_0.wav,1.0
97,a4e8a997,two,../data/two/a4e8a997_nohash_0.wav,1.0
98,43691f67,two,../data/two/43691f67_nohash_0.wav,1.0
99,3d3ddaf8,two,../data/two/3d3ddaf8_nohash_2.wav,0.882375
100,8fe52b97,two,../data/two/8fe52b97_nohash_0.wav,0.597375
101,264f471d,two,../data/two/264f471d_nohash_1.wav,1.0
102,1338a799,two,../data/two/1338a799_nohash_3.wav,1.0
103,a9b574b3,two,../data/two/a9b574b3_nohash_0.wav,0.97525
104,96a48d28,two,../data/two/96a48d28_nohash_4.wav,1.0
105,a4ca3afe,two,../data/two/a4ca3afe_nohash_1.wav,1.0
106,be7a5b2d,two,../data/two/be7a5b2d_nohash_0.wav,1.0
107,5fadb538,two,../data/two/5fadb538_nohash_1.wav,1.0
108,763188c4,two,../data/two/763188c4_nohash_1.wav,1.0
109,3e549219,two,../data/two/3e549219_nohash_0.wav,1.0
110,38d78313,two,../data/two/38d78313_nohash_0.wav,1.0
111,7fa5fa1f,two,../data/two/7fa5fa1f_nohash_0.wav,1.0
112,834f03fe,two,../data/two/834f03fe_nohash_1.wav,1.0
113,fffcabd1,two,../data/two/fffcabd1_nohash_0.wav,1.0
114,75915c90,two,../data/two/75915c90_nohash_0.wav,1.0
115,2643992f,two,../data/two/2643992f_nohash_0.wav,1.0
116,bd061bef,two,../data/two/bd061bef_nohash_1.wav,1.0
117,437455be,two,../data/two/437455be_nohash_0.wav,1.0
118,71f9bba8,two,../data/two/71f9bba8_nohash_1.wav,1.0
119,15d83b54,two,../data/two/15d83b54_nohash_1.wav,1.0
120,563aa4e6,two,../data/two/563aa4e6_nohash_1.wav,1.0
121,179a61b7,two,../data/two/179a61b7_nohash_3.wav,1.0
122,cb8f8307,two,../data/two/cb8f8307_nohash_1.wav,1.0
123,dcc012ec,two,../data/two/dcc012ec_nohash_0.wav,1.0
124,a2fefcb4,two,../data/two/a2fefcb4_nohash_1.wav,1.0
125,5c8af87a,two,../data/two/5c8af87a_nohash_0.wav,1.0
126,5c39594f,two,../data/two/5c39594f_nohash_3.wav,1.0
127,f92e49f3,two,../data/two/f92e49f3_nohash_4.wav,1.0
128,8830e17f,two,../data/two/8830e17f_nohash_3.wav,1.0
129,aff582a1,two,../data/two/aff582a1_nohash_2.wav,1.0
130,dc269564,two,../data/two/dc269564_nohash_0.wav,0.8359375
131,f632210f,two,../data/two/f632210f_nohash_0.wav,0.597375
132,324210dd,two,../data/two/324210dd_nohash_3.wav,1.0
133,d55aa56c,two,../data/two/d55aa56c_nohash_0.wav,1.0
134,d7559b2d,two,../data/two/d7559b2d_nohash_0.wav,0.853375
135,229978fd,two,../data/two/229978fd_nohash_1.wav,1.0
136,8f4c551f,two,../data/two/8f4c551f_nohash_1.wav,1.0
137,e95c70e2,two,../data/two/e95c70e2_nohash_0.wav,1.0
138,5de8f2f0,two,../data/two/5de8f2f0_nohash_0.wav,1.0
139,6982fc2a,two,../data/two/6982fc2a_nohash_0.wav,1.0
140,7211390b,two,../data/two/7211390b_nohash_0.wav,1.0
141,5eb5fc74,two,../data/two/5eb5fc74_nohash_0.wav,0.5546875
142,030ec18b,two,../data/two/030ec18b_nohash_0.wav,0.821375
143,28e47b1a,two,../data/two/28e47b1a_nohash_1.wav,1.0
144,3df9a3d4,two,../data/two/3df9a3d4_nohash_0.wav,1.0
145,2cec1d47,two,../data/two/2cec1d47_nohash_0.wav,1.0
146,924c1a04,two,../data/two/924c1a04_nohash_1.wav,1.0
147,2da58b32,two,../data/two/2da58b32_nohash_3.wav,1.0
148,f92e49f3,two,../data/two/f92e49f3_nohash_1.wav,1.0
149,3ca784ec,two,../data/two/3ca784ec_nohash_3.wav,1.0
150,d7ca14ef,two,../data/two/d7ca14ef_nohash_0.wav,1.0
151,8830e17f,two,../data/two/8830e17f_nohash_2.wav,1.0
152,8335f893,two,../data/two/8335f893_nohash_0.wav,1.0
153,1c3f4fac,two,../data/two/1c3f4fac_nohash_0.wav,1.0
154,650daf8e,two,../data/two/650daf8e_nohash_0.wav,1.0
155,cc6ee39b,two,../data/two/cc6ee39b_nohash_4.wav,1.0
156,f953e1af,two,../data/two/f953e1af_nohash_0.wav,1.0
157,1338a799,two,../data/two/1338a799_nohash_0.wav,1.0
158,2039b9c1,two,../data/two/2039b9c1_nohash_0.wav,1.0
159,8f0d3c27,two,../data/two/8f0d3c27_nohash_0.wav,1.0
160,106a6183,two,../data/two/106a6183_nohash_4.wav,1.0
161,2cf28b70,two,../data/two/2cf28b70_nohash_0.wav,0.981375
162,ab3f0c1b,two,../data/two/ab3f0c1b_nohash_0.wav,1.0
163,692a88e6,two,../data/two/692a88e6_nohash_3.wav,1.0
164,49af4432,two,../data/two/49af4432_nohash_4.wav,1.0
165,03cf93b1,two,../data/two/03cf93b1_nohash_3.wav,0.5546875
166,563aa4e6,two,../data/two/563aa4e6_nohash_0.wav,1.0
167,b959cd0c,two,../data/two/b959cd0c_nohash_2.wav,1.0
168,17c94b23,two,../data/two/17c94b23_nohash_0.wav,1.0
169,3cbd76a3,two,../data/two/3cbd76a3_nohash_1.wav,1.0
170,e53139ad,two,../data/two/e53139ad_nohash_0.wav,1.0
171,44f68a83,two,../data/two/44f68a83_nohash_0.wav,1.0
172,ab71c9a7,two,../data/two/ab71c9a7_nohash_4.wav,1.0
